age	time	infec
47.1014	191.8157	3.0000
19.0181	231.7247	1.0000
28.4905	315.7978	2.0000
45.6982	9.9229	0
41.9371	352.7439	2.0000
45.7738	337.9661	2.0000
69.9545	26.4810	0
27.5579	47.3456	2.0000
57.7165	337.0509	5.0000
21.3858	125.9988	4.0000
46.5008	323.0140	4.0000
28.4672	29.9396	0
37.3604	72.9869	0
43.9391	121.2064	2.0000
20.2050	275.5812	0
60.5610	57.0165	1.0000
15.0436	290.0426	1.0000
62.2781	87.8828	1.0000
57.5353	65.2363	0
32.2392	135.9850	0
61.9930	205.2722	2.0000
34.8238	137.3876	0
59.7744	228.7202	0
26.9623	59.4470	1.0000
42.5524	117.6295	1.0000
70.0496	354.6307	2.0000
64.4995	257.0045	1.0000
68.0299	328.9854	4.0000
70.4905	270.2712	5.0000
23.9095	186.1853	2.0000
42.6969	82.7681	0
16.6408	336.8646	3.0000
14.3642	251.8735	0
49.0352	75.1613	1.0000
21.9579	341.3334	0
27.7467	150.3981	0
62.9061	260.3841	4.0000
17.3008	85.1374	0
58.4360	315.5762	3.0000
23.8810	110.9017	1.0000
35.7857	118.8974	0
18.7350	241.9341	4.0000
24.9607	10.3423	0
19.2918	194.2026	0
58.9927	209.0466	2.0000
44.3997	354.5529	5.0000
70.6450	35.7600	1.0000
44.8976	258.3339	0
38.5074	269.3692	2.0000
53.1544	108.2321	0
33.8966	147.9687	2.0000
39.5770	183.8651	2.0000
54.1744	186.3983	1.0000
23.3703	82.7721	1.0000
51.3597	280.2898	2.0000
17.2811	27.4428	1.0000
36.3526	42.6050	0
17.8994	200.7587	3.0000
62.5803	109.6559	0
39.2669	318.7080	5.0000
50.1689	96.8301	1.0000
39.1525	326.6950	0
46.1997	14.9691	0
44.2200	261.0601	4.0000
52.7631	124.9645	0
64.4943	271.9463	2.0000
35.5460	61.9259	0
53.3318	253.6369	2.0000
20.9385	75.8865	1.0000
42.0684	304.7814	5.0000
63.8677	144.4523	1.0000
51.2982	136.3589	2.0000
17.0827	107.2529	0
69.9534	237.1246	4.0000
39.0145	135.0612	0
20.4419	126.1046	3.0000
20.7912	207.4312	2.0000
35.9386	138.5015	2.0000
23.1220	140.9774	2.0000
61.5464	35.6671	0
14.4343	214.6959	0
22.5470	104.8391	0
40.5896	73.4279	0
51.6602	66.4712	0
67.9529	327.4378	6.0000
59.0468	299.8869	3.0000
45.2409	349.6123	2.0000
39.6246	263.0625	4.0000
52.1191	36.6182	1.0000
29.6587	84.0052	1.0000
51.2028	142.4988	3.0000
32.7702	203.2377	0
37.3032	87.2528	1.0000
60.0635	9.2006	0
69.8711	331.3157	4.0000
27.9928	35.0376	0
20.3773	349.4731	3.0000
39.3428	71.7612	0
71.9959	69.1353	1.0000
20.1262	297.1338	2.0000
21.1146	165.9047	4.0000
46.2451	217.9925	3.0000
70.7916	279.3947	3.0000
17.2548	251.5761	0
26.0810	280.4222	1.0000
41.5527	338.3928	6.0000
67.4807	136.3144	1.0000
33.7638	53.7051	0
60.2655	223.6387	3.0000
53.1242	18.1670	0
38.1302	7.1001	0
23.2696	230.8653	1.0000
26.7797	248.4037	1.0000
18.4794	107.5286	0
23.7670	5.5845	0
37.1929	221.0587	2.0000
66.0608	332.8643	5.0000
50.1784	178.3187	2.0000
65.1712	226.8972	2.0000
57.7161	215.8721	3.0000
23.1393	183.2551	1.0000
24.0402	134.9956	2.0000
46.2108	292.4133	3.0000
18.4400	26.5845	0
55.0089	337.6150	1.0000
18.0620	6.6224	0
12.6309	116.7706	0
18.0171	157.9726	4.0000
49.6043	309.0260	5.0000
26.0578	163.8128	2.0000
38.4142	10.3614	0
55.0313	14.6637	0
70.1922	266.9496	4.0000
31.1702	250.3093	2.0000
28.4796	219.7893	1.0000
22.7760	203.2558	3.0000
54.3531	186.9073	3.0000
50.5421	243.1757	0
64.7717	146.6898	3.0000
48.1282	233.0271	1.0000
47.1731	289.2574	2.0000
65.9917	136.2188	2.0000
25.4176	98.2414	0
12.0978	117.9368	0
54.2287	136.2934	0
43.4983	77.8091	0
47.9792	217.8369	4.0000
47.0054	305.1037	4.0000
